Report generated on: 07-12-2024 00:40:26
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","biofuels production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.79-1-EU27-TBPD.A","    European Union","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.6","0.8","0.8","1.3","1.8","2.1","2","17.78","22.84","31.45","38.5","47.54","70.25","103.41","136.91","182.41","234.588011","259.281363","249.017933","251.010697","264.25196","290.87272","286.72861","277.18135","300.62272","316.19012","335.3813","324.29427","335.33595","332.6767874"
"INTL.79-1-AUT-TBPD.A","        Austria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.38","0.42","0.45","0.46","0.48","0.53","2.58","5.38","6.39","8.124956","8.785543","8.264372","5.859076","5.57762","9.26792","10.43141","9.65249","8.69962","8.61626","9.44374","8.13017","9.28359","10.05263"
"INTL.79-1-BEL-TBPD.A","        Belgium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4","7.890442","10.930498","12.843899","11.318559","10.64739","13.44532","9.50842","9.18943","10.93742","10.63548","11.37241","12.1104","11.30253","10.98165"
"INTL.79-1-BGR-TBPD.A","        Bulgaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0.37986","0.37986","0.319879","0.144884","1.03788","1.51039","1.37187","1.67608","2.11202","2.65782","3.45351","2.79802","4.011","5.48171"
"INTL.79-1-HRV-TBPD.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.08","0.07","0.119963","0.279891","0.159951","0.705035","0.59977","0.63215","0.31343","0.02027","0.00678","0.00742","0.00472","0.00304","0.00697","0.00715"
"INTL.79-1-CYP-TBPD.A","        Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.13","0.139957","0.119963","0.119963","0.069978","0.03326","0","0.01341","0.0087","0.02609","0","0","0","0","0"
"INTL.79-1-CZE-TBPD.A","        Czechia","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","1.33","1.41","2.07","2.24","1.68","2.53","2.48","2.22","2.81","5.034839","5.99553","5.347421","5.110446","5.31654","5.98365","5.06913","4.94584","4.83929","4.96297","6.28723","6.12869","6.00948","5.97626"
"INTL.79-1-DNK-TBPD.A","        Denmark","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.8","0.9","1.3","1.41","1.41","1.41","1.98","1.727374","1.61387","1.698046","0.450641","0","0","0","0","0","0","0","0","0","0"
"INTL.79-1-EST-TBPD.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.79-1-FIN-TBPD.A","        Finland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.2","0.4","1.42","2.77","5.265767","6.900352","4.765574","5.765517","6.85042","7.62354","8.75937","2.2003","6.26402","5.84985","7.37149","7.02999","14.15769","13.2839"
"INTL.79-1-CSK-TBPD.A","        Former Czechoslovakia","0","0","0","0","0","0","0","0","0","0","0","0","0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","","",""
