Report generated on: 07-12-2024 00:37:33
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","coal production (Mst)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-1-EU27-TST.A","    European Union","1116683.2274599974","1103812.6619700058","1154916.8650350024","1167270.4595300038","1199325.086484996","1219446.0983500064","1223798.5669999972","1223504.79602","1218025.2061200002","1192165.0118699993","1045057.1209099975","928476.815309996","876295.66453","838771.9298200008","805399.4945700004","790963.6428099999","784461.1161200012","754363.64388","695232.4285499998","659362.1588400002","663611.5638899996","671312.3015499992","670792.011230001","670021.8639766658","667167.0538033347","648350.7948299999","638143.0477850005","635491.6357899996","611788.6638600004","581331.83856","565381.4128599999","595780.9180400004","604953.2395499995","561932.2848699985","544870.7306899993","541838.275879999","501351.9850416196","507485.7999529679","484975.07109116996","410778.6180604701","331750.7535274887","365821.7226244901","385374.8319268"
"INTL.7-1-AUT-TST.A","        Austria","3158.11815","3374.17091","3634.31607","3352.12471","3227.56368","3396.21711","3272.75839","3071.03566","2346.81799","2277.37246","2698.45488","2293.90711","1952.19101","1864.00621","1509.06239","1429.69607","1221.35948","1245.6103","1256.6334","1253.32647","1376.78519","1329.38586","1556.46172","1269.86112","259.04285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BEL-TST.A","        Belgium","6971.00844","6818.88966","7248.79056","6745.03489","6990.85002","6875.10747","6200.49375","4817.0947","2741.44497","2086.67283","1141.99316","698.86454","240.30358","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BGR-TST.A","        Bulgaria","33304.09203","32232.64671","35510.91665","35703.8209","37099.34536","34039.3328","38826.66513","40585.95189","37640.57957","37807.02838","34915.66925","31294.5809","33426.44844","32002.26392","31699.12867","33984.2173","34504.50762","32747.42548","33191.65641","27886.23838","29136.25792","29333.57141","28679.90158","30091.96069","29194.68035","27221.54545","28305.11618","31364.02643","31734.40259","29967.39966","32413.42555","40926.56568","36846.91637","31549.21451","34467.02908","39527.73429","34426.24361","37784.25686","33359.1854838","30865.38988764","24579.8374888","31183.54300908","39149.6640062"
"INTL.7-1-HRV-TST.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","132.2772","127.86796","113.53793","90.38942","72.75246","54.01319","56.21781","16.53465","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CYP-TST.A","        Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CZE-TST.A","        Czechia","--","--","--","--","--","--","--","--","--","--","--","--","--","93959.80209","84816.14064","82564.12131","85037.70495","81588.57696","74437.89199","65182.89723","71828.72422","72869.30486","69837.95236","70444.22286","70631.61556","68371.88006","69338.60593","69033.26606","66359.062","62189.02327","60857.43279","64002.32322","61566.21812","53990.04149","51650.93967","51168.12789","49949.03239003","49296.77257923","48029.46330688","45088.15961309","34809.1199654","34676.75898984","38659.44249838"
"INTL.7-1-DNK-TST.A","        Denmark","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-EST-TST.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
