Year,Country,CTS_Code,CTS_Full_Descriptor,CTS_Name,ISO2,ISO3,Indicator,ObjectId,Source,Unit,value
2005,Argentina,ECFLIN,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Intensities, Normalized",Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Intensities; Normalized,AR,ARG,Carbon Footprint of Bank Loans (Based on emission intensities - normalized),1,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",Ratio,
2005,Argentina,ECFLI,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Intensities",Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Intensities,AR,ARG,Carbon Footprint of Bank Loans (Based on emission intensities),2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",Ratio,
2005,Argentina,ECFLMN,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Multipliers, Normalized",Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Multipliers; Normalized,AR,ARG,Carbon Footprint of Bank Loans (Based on emission multipliers - normalized),3,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",Ratio,
2005,Argentina,ECFLM,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Multipliers",Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Multipliers,AR,ARG,Carbon Footprint of Bank Loans (Based on emission multipliers),4,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",Ratio,
2005,Belgium,ECFLIN,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Intensities, Normalized",Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Intensities; Normalized,BE,BEL,Carbon Footprint of Bank Loans (Based on emission intensities - normalized),5,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",Ratio,
2005,Belgium,ECFLI,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Intensities",Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Intensities,BE,BEL,Carbon Footprint of Bank Loans (Based on emission intensities),6,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",Ratio,
2005,Belgium,ECFLMN,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Multipliers, Normalized",Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Multipliers; Normalized,BE,BEL,Carbon Footprint of Bank Loans (Based on emission multipliers - normalized),7,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",Ratio,
2005,Belgium,ECFLM,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Multipliers",Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Multipliers,BE,BEL,Carbon Footprint of Bank Loans (Based on emission multipliers),8,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",Ratio,
2005,Brazil,ECFLIN,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Intensities, Normalized",Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Intensities; Normalized,BR,BRA,Carbon Footprint of Bank Loans (Based on emission intensities - normalized),9,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",Ratio,
2005,Brazil,ECFLI,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Intensities",Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Intensities,BR,BRA,Carbon Footprint of Bank Loans (Based on emission intensities),10,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",Ratio,
2005,Brazil,ECFLMN,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers, Based on Emission Multipliers, Normalized",Carbon Footprint-Adjusted Loans to Total Loans for Deposit Takers; Based on Emission Multipliers; Normalized,BR,BRA,Carbon Footprint of Bank Loans (Based on emission multipliers - normalized),11,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio. Accessed on 2022-08-05; International Monetary Fund (IMF), Statistics Department Questionnaire; IMF staff calculations.",Ratio,
