Report generated on: 07-12-2024 00:38:52
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"","LPG and ethane production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-1-EU27-TBPD.A","    European Union","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","494.5","535.4","470","463.9","478","481.4","441.5","479.5","482.5","480","498.4","510.6","520.3","506.9","496.5","509.6","476.1","468.4","456.9","445.8","NA","NA"
"INTL.13-1-AUT-TBPD.A","        Austria","NA","NA","NA","NA","2.4","2.9","2","2.4","1.4","1.3","1.5","1.3","0.6","0.6","1.1","1.9","0.6","1.4","0.9","0.6","1.2","0.1","0.9","1.6","1.8","3.4","1.6","2.3","3.1","2.9","2.8","3.2","2.2","2.3","NA"
"INTL.13-1-BEL-TBPD.A","        Belgium","16.64989152","15","13","12","12","14","17","17","16","16","14","15","12","13","16","15","17","19","22","18","24","21","21","20","16","15","13","15","16","14","17","17","15","18","NA"
"INTL.13-1-BGR-TBPD.A","        Bulgaria","NA","NA","NA","NA","NA","NA","3.1","3.3","3.1","3.3","2.8","1.5","3.6","2.7","2.7","2.9","4.5","2.8","2.5","3.6","3.3","4","3.2","2.9","3.4","3.5","4.2","4.3","5.1","5.1","4","3.9","4","NA","NA"
"INTL.13-1-HRV-TBPD.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","10","11","12","13","12","15","13","13","15","13","14","14","15","15","18","12","12","13","11","9.6","8.9","NA","NA"
"INTL.13-1-CYP-TBPD.A","        Cyprus","NA","NA","NA","NA","NA","NA","0.7","0.7","1","0.8","0.8","0.9","0.9","0.9","1","0.9","0.8","1","1","1.1","1","1","1.1","0.9","0.3","0","0","0","0","0","0","0","0","NA","NA"
"INTL.13-1-CZE-TBPD.A","        Czechia","--","--","--","--","--","--","--","--","--","--","--","--","--","3.8","3.7","4.3","5.6","5.4","4.7","4.6","4.9","6","5.1","5.7","6.7","7.1","7.7","7.4","7.9","7.2","7.6","7.1","7.5","6.8","NA"
"INTL.13-1-DNK-TBPD.A","        Denmark","3.409732309","3.4","3.7","4.1","4.6","4.2","5.1","5.1","4.8","4.5","4.5","4.6","4.1","4.2","4.6","4.7","5.1","5.9","4.3","5.1","5.6","5.3","5.1","5.3","5.1","4.8","5.2","5.1","3.6","4.4","4.8","4.2","5.1","3.5","NA"
"INTL.13-1-EST-TBPD.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.13-1-FIN-TBPD.A","        Finland","3.62630709","4.5","3.9","4.6","4.6","5","5.6","6.4","8.7","6","4.2","6.7","8.6","8.9","9.3","7.2","10","9.5","11","6.5","6.9","4.9","7.3","8.6","8.5","9.9","13","11","11","8.7","7.8","12","8.1","9.8","NA"
"INTL.13-1-CSK-TBPD.A","        Former Czechoslovakia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.13-1-FRA-TBPD.A","        France","108.103142036","98","89","85","84","91","86","83","93","89","90","95","89","94","88","86","96","102","104","83","90","92","80","98","94","91","88","83","93","80","67","60","47","47","NA"
"INTL.13-1-DEU-TBPD.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","78","84","91","109","104","95","89","89","87","97","96","94","97","95","96","95","98","92","86","85","84","83","84","NA"
"INTL.13-1-DDR-TBPD.A","        Germany, East","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.13-1-DEUW-TBPD.A","        Germany, West","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.13-1-GRC-TBPD.A","        Greece","5.729609391","8.3","8.1","8.8","7.7","7","9","9.6","11","12","13","14","13","13","15","15","18","18","21","18","24","24","22","21","19","21","21","20","21","21","22","18","21","22","NA"
"INTL.13-1-HUN-TBPD.A","        Hungary","10.04416011","11","10","10","11","10","9.7","10","11","11","11","9.8","10","10","9.6","6.7","2.7","2.3","2.2","2.3","2.4","2.5","12","12","12","12","11","11","12","11","10","9.2","8.1","9.8","NA"
"INTL.13-1-IRL-TBPD.A","        Ireland","0.931693989","0.2","0.4","0.7","0.5","0.5","0.8","0.7","1","1","0.9","0.9","1.1","0.9","1","1.1","1.2","1.4","1.4","1.2","1.5","1.9","1.9","1.8","1.7","1.8","1.6","1.1","1","1.1","1.8","2.1","2.3","2","NA"
"INTL.13-1-ITA-TBPD.A","        Italy","59.45385685","56","59","59","58","55","58","58","62","68","77","73","82","70","73","69","68","72","73","71","77","77","77","75","79","78","73","73","72","67","69","68","65","59","NA"
"INTL.13-1-LVA-TBPD.A","        Latvia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.13-1-LTU-TBPD.A","        Lithuania","--","--","--","--","--","--","--","--","--","--","--","--","4","5.2","5","5.4","7.5","8.3","7","5.5","4.9","6.6","15","14","17","17","13","9.1","15","12","12","11","9.8","NA","NA"
"INTL.13-1-LUX-TBPD.A","        Luxembourg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.13-1-MLT-TBPD.A","        Malta","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.13-1-NLD-TBPD.A","        Netherlands","47","43","57","62","81","61","69","75","73","83","75","71","77","78","89","37","36","37","34","33","34","31","27","29","38","38","35","42","42","44","45","49","49","48","NA"
"INTL.13-1-POL-TBPD.A","        Poland","6.654264137","6.3","6.1","5.9","5.3","5.3","5.7","8.8","8","8.8","4.6","4.6","5","5.4","6.3","6.1","5.2","5.7","7.1","9.2","9.2","8.1","8","8.5","8.2","8.9","9","8.2","9.7","9.3","13","14","17","17","NA"
"INTL.13-1-PRT-TBPD.A","        Portugal","7.01159728","8.6","7.8","8.8","8.1","7.8","9.1","8.1","9.4","11","12","10","12","11","16","13","12","12","13","11","8.7","12","11","12","12","12","13","12","13","9.9","11","8.8","7","6.7","NA"
"INTL.13-1-ROU-TBPD.A","        Romania","NA","NA","NA","NA","NA","NA","9.4","9","8.9","14","7.7","7.5","7.6","8.2","8.6","9.3","8.7","8","10","8.6","11","11","11","10","12","21","22","24","19","24","18","18","17","NA","NA"
"INTL.13-1-SVK-TBPD.A","        Slovakia","--","--","--","--","--","--","--","--","--","--","--","--","--","1.8","1.8","2.2","1.7","1.7","1","0.7","0","6.2","4.7","5.1","6.9","5.9","5","3.6","3.2","2.6","2.6","3.2","2.8","3.3","NA"
"INTL.13-1-SVN-TBPD.A","        Slovenia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.13-1-ESP-TBPD.A","        Spain","35.106269832","34","31","39","45","52","58","57","62","64","67","67","66","51","54","58","48","52","50","50","48","50","50","45","46","45","48","46","47","44","46","46","54","54","NA"
"INTL.13-1-SWE-TBPD.A","        Sweden","3.490704277","2.6","2.5","3.5","5.2","5.8","7.5","6.7","5.4","5.1","7","8.1","9.3","9.9","8.7","7.3","8.3","8.6","9.3","8.5","9.9","8.9","8.7","11","13","14","9.6","8.4","11","8.9","11","8.6","12","9.8","NA"
"INTL.13-1-NOEC-TBPD.A","    Non-OECD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4607.9","4668.1","4846.5","5014.4","5414","5606.6","5759.3","NA","NA"
"INTL.13-1-AFG-TBPD.A","        Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.13-1-ALB-TBPD.A","        Albania","NA","NA","NA","NA","NA","NA","0.3","0.2","0.1","0.1","0.084","0.02538","0.02626","0.02158","0.01491","0.0139","0.01284","0.01172","0.00987","0.00809959452054794","0.00837211475409836","0.0402420383561644","0.00840859178082192","0.00837894246575343","0.0408992950819672","0.0420211890410959","0.0135010630136986","0","0","0.00830184657534247","0.00420149589041096","0.00777195616438356","0.00299971038251366","NA","NA"
"INTL.13-1-DZA-TBPD.A","        Algeria","NA","NA","NA","NA","NA","NA","115","133","138","138","179","180","176","179","175","172","180","215","235","267","304","311","320","313","292","298","276","290","291","281","258","252","235","NA","NA"
"INTL.13-1-AGO-TBPD.A","        Angola","NA","NA","NA","NA","NA","NA","0.5","0.5","0.6","0.5","0.6","0.6","0.6","0.6","0.6","0.6","0.7","1.2","1","0.9","1","1","1.3","1.3","4.5","4.8","20","21","21","20","17","18","18","NA","NA"
"INTL.13-1-ATA-TBPD.A","        Antarctica","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.13-1-ATG-TBPD.A","        Antigua and Barbuda","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.13-1-ARG-TBPD.A","        Argentina","NA","NA","NA","NA","NA","NA","35","47","51","51","53","56","64","64","66","73","74","72","77","83","85","118","113","134","143","139","146","139","137","137","130","113","128","NA","NA"
"INTL.13-1-ARM-TBPD.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.13-1-ABW-TBPD.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0.0112","0.0103","0.00833","0.00833","0","0","0","0","0","0","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0","0","0","0","0","0","NA","NA"
"INTL.13-1-AZE-TBPD.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","13","10","16","9.8","13","6.3","2","5","2","1.5","3.2","4.9","6","6.6","6.4","5.9","7.1","6.3","7.7","8","7","NA","NA"
"INTL.13-1-BHR-TBPD.A","        Bahrain","NA","NA","NA","NA","NA","NA","1","5.6","5.4","5.3","5.6","7.4","8.9","7.9","8","8.5","7.5","7.1","6.9","6.9","6.6","6.6","6.4","6.1","6.4","6.6","6.4","6","6.1","6","9.3","9.2","9","NA","NA"
"INTL.13-1-BGD-TBPD.A","        Bangladesh","NA","NA","NA","NA","NA","NA","0.3","0.4","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.5","0.4","0.5","0.5","0.3","0.5","0.7","0.7","1.3","0.7","0.7","0.3","0.4","1.5","1.4","0.5","0.6","0.7","NA","NA"
"INTL.13-1-BRB-TBPD.A","        Barbados","NA","NA","NA","NA","NA","NA","0.00653","0.0063","0.00216","0.0019","0.00724","0.00753","0.06987","0.07082","0.07054","0.00704","1.9","0.00619","0.06035","0.0603583561643836","0","0","0","0","0.0305323029508197","0","0","0","0","0","0.030042","0","0","NA","NA"
"INTL.13-1-BLR-TBPD.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","20","7.2","6","6.8","6.7","4.7","4.7","6.4","7.6","3.6","6.6","7.3","14","15","16","14","15","14","14","15","17","NA","NA"
"INTL.13-1-BLZ-TBPD.A","        Belize","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.13-1-BEN-TBPD.A","        Benin","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.13-1-BMU-TBPD.A","        Bermuda","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.13-1-BTN-TBPD.A","        Bhutan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.13-1-BOL-TBPD.A","        Bolivia","NA","NA","NA","NA","NA","NA","6.8","11","8.9","9.5","5.9","6.4","6.1","6.3","6.7","7.9","8","9.5","9.8","9.4","8.5","9.2","9.3","9.9","11","9.4","11","11","11","10","10","10","10","NA","NA"
"INTL.13-1-BIH-TBPD.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0.06356164384","0.06356164384","0.8","1","0.8","0.8","NA","NA"
"INTL.13-1-BWA-TBPD.A","        Botswana","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.13-1-BRA-TBPD.A","        Brazil","NA","NA","NA","NA","NA","NA","122","114","133","107","137","131","137","141","138","131","126","126","129","135","134","170","176","185","193","205","180","186","179","192","194","193","207","NA","NA"
"INTL.13-1-VGB-TBPD.A","        British Virgin Islands","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
