Report generated on: 07-12-2024 00:35:57
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","gross natural gas production (bcf)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.3-1-WORL-BCF.A","        World","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","89033.92971174611","91917.59048088673","91484.01379393532","93654.283476","94854.109119","97071.05210896657","100654.02958841834","100091.580422","101714.711944","103655.552836","107796.54341134097","109969.83176915186","112346.84702023618","115643.42667626927","119720.39742404464","125016.49442553897","127905.89121790144","132975.8642607746","137717.9118556122","134983.1857498825","143088.3431406046","146520.57920740114","148389.2651471526","149766.31430938683","152228.79321201623","154397.73364052683","","","","","","",""
"INTL.3-1-AFG-BCF.A","            Afghanistan","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","110.438246746104","16","11","10.59","10.59","7.06","8.12245","8.12245","8.12245","8.12245","8.12245","1.76575","1.76575","0.7063","0.7063","0.7063","0.7063","1.4126","1.76575","1.05945","4.9441","4.9441","5.636274","5.636274","5.636274","6.674535","NA","NA","","","","",""
"INTL.3-1-ALB-BCF.A","            Albania","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","13","11","3.602","3.178","2.47","1.77","1.76575","1.4126","1.76575","1.4126","1.76575","1.76575","1.76575","1.76575","1.76575","1.76575","1.76575","1.05945","1.76575","1.76575","1.05945","0.7063","0.600355","0.670985","1.13008","1.236025","NA","NA","","","","",""
"INTL.3-1-DZA-BCF.A","            Algeria","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4471","4458","4486","4722.67","4700.78","4864.29","4903.1346","5259.1098","5299.3689","5347.04415","5757.40445","5668.0575","5671.589","5819.912","6078.06465","6819.361815","6836.984","6998.79733","7104.88359","6954.123855","6787.89615","6714.335005","6448.483685","6338.68935","6594.15806","6491.74456","NA","NA","","","","",""
"INTL.3-1-ASM-BCF.A","            American Samoa","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-AGO-BCF.A","            Angola","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","92","83","65","105.945","98.88","183.638","204.827","219.6593","233.079","257.7995","254.268","250.7365","296.646","243.6735","275.457","300.1775","331.961","381.75515","354.91575","356.6815","364.4508","379.035895","383.061805","379.9894","369.04175","372.255415","NA","NA","","","","",""
"INTL.3-1-ATA-BCF.A","            Antarctica","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-ATG-BCF.A","            Antigua and Barbuda","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-ARG-BCF.A","            Argentina","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","812","879.83","902.39","940.085","970.1","1076.05","1223.66475","1308.7739","1364.21845","1498.41545","1584.58405","1621.31165","1616.36755","1783.05435","1848.74025","1821.90085","1827.1981","1800.71185","1783.4075","1708.89285","1663.3365","1607.5388","1557.3915","1472.28235","1465.21935","1518.545","NA","NA","","","","",""
"INTL.3-1-ARM-BCF.A","            Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-ABW-BCF.A","            Aruba","--","--","--","--","--","--","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","","","","",""
"INTL.3-1-AUS-BCF.A","            Australia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","731","762","811.856535","870.691325","937.68388","1039.03793","1074.529505","1065.38292","1105.041665","1130.185945","1169.70343","1193.329165","1243.01737","1210.139105","1216.354545","1271.69315","1330.068845","1403.806565","1444.45413","1499.54553","1868.198815","2001.15979","1916.68631","2190.16567","2222.7261","2384.32754","NA","NA","","","","",""
"INTL.3-1-AUT-BCF.A","            Austria","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","47","47","51","53","47.85","52.34","52.68998","50.42982","55.37392","61.4481","63.743575","61.16558","66.3922","73.843665","69.323345","61.02432","67.769485","68.86425","57.06904","58.093175","60.10613","59.223255","63.672945","51.171435","46.651115","44.602845","NA","NA","","","","",""
"INTL.3-1-AZE-BCF.A","            Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","275.526455778415","240.142","225.31","231.99","236.61","210.4774","460.5076","474.28045","486.6407","202.0018","181.87225","181.16595","176.92815","205.5333","240.8483","556.5644","775.16425","781.8741","871.22105","852.85725","891.3506","980.69755","990.58575","963.74635","NA","NA","","","","",""
"INTL.3-1-BHR-BCF.A","            Bahrain","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","291","328","296","346.087","339.38","339.38","346.7933","375.39845","389.52445","406.47565","412.12605","425.8989","436.14025","434.3745","437.906","470.3958","488.0533","507.1234","540.67265","547.02935","551.26715","546.6762","590.11365","679.81375","709.8315","727.489","NA","NA","","","","",""
"INTL.3-1-BGD-BCF.A","            Bangladesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","170","173","216","215.77","234.84","260.27","266.9814","269.45345","289.583","319.60075","342.5555","363.7445","391.9965","429.07725","462.6265","494.41","541.0258","574.57505","632.1385","692.174","710.89095","710.18465","777.98945","805.182","844.0285","948.60906648165","NA","NA","","","","",""
"INTL.3-1-BRB-BCF.A","            Barbados","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.20071","1.165395","1.69512","1.659805","1.62449","1.659805","1.589175","1.518545","1.306655","1.659805","1.33886934097421","1.13790315186246","1.024135","1.024135","1.05945","0.972241833810888","0.991252148997135","0.738686532951289","0.688897612225406","0.62190888252149","0.613761604584527","0.627340401146132","0.718770964660936","0.841885386819484","0.515089016236867","0.626435148042025","NA","NA","","","","",""
"INTL.3-1-BLR-BCF.A","            Belarus","--","--","--","--","--","--","--","--","--","--","--","--","10.24","10.24","10.24","10.59","10.59","7.063","7.7693","7.41615","7.098315","7.063","6.70985","5.6504","6.3567","6.07418","6.00355","5.6504","5.36788","5.29725","7.663355","7.7693","7.41615","8.05182","7.7693","8.440285","NA","NA","","","","",""
