Report generated on: 07-12-2024 00:33:58
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"","petroleum and other liquids production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-EU27-TBPD.A","    European Union","","","","","","","","670.4","679.4","747","837","875.9579398907103","912.7","930.9194789579452","952.2831591113246","977.788726297709","942.7482268140452","939.6465942273343","923.6994515415781","959.7174067196721","777.054794520548","802.0567589041096","796.4798794520548","803.3904289617486","817.9003616438356","789.7385068493151","807.5324684931506","876.0171967213115","845.9185178082191","908.3003424657534","920.5101369863014","1306.1863961748634","1222.9371534246575","1178.9191424657533","1131.3087534246574","1100.2487540983607","1018.3164657534246","1212.4074150684933","1169.0268123287672","1157.7043273224044","1177.2159068493152","1179.424101369863","1163.9669753424657","1033.7978625566666","1029.03245229437","1037.5010337446026","988.8168714885506","1022.0383877356202","1019.0397879672014","984.6782582648233","998.2832172927292",""
"INTL.53-1-AUT-TBPD.A","        Austria","","","","","","","","30","28","29","28","27","25","25","24","27","27","27","30","27","22.65205479452055","22.156186301369864","21.246575342465754","20.50831693989071","19.405479452054795","19.747945205479454","19.167123287671235","19.681420765027323","20.83013698630137","21.720547945205478","20.405479452054795","26.38026775956284","25.38070410958904","26.19535890410959","28.041712328767122","27.714301639344264","27.5462","35.62571780821918","36.10133424657534","36.155335519125686","26.98200410958904","30.84496301369863","31.574990410958904","29.36100218579235","27.186649315068493","26.92278904109589","26.442115068493152","24.4670043715847","24.902112195569963","23.946440004527354","23.10385494558548",""
"INTL.53-1-BEL-TBPD.A","        Belgium","","","","","","","","8","8","9","10","11","11","6.1","5.6","8.2","11","11","9.1","10","","","","","","","","","","","","10.688","8.691","11.914","11.224","10.7599","10.9045","21.1237","20.0665","20.2646","20.984","25.5009","21.057","19.9088","19.6025","18.8857","24.3528","23.6427","24.79236143224496","24.6058295771095","24.939280789220742",""
"INTL.53-1-BGR-TBPD.A","        Bulgaria","","","","","","","","3","3","3","3","4","6","-0.2","0.09789268493151","-1.5","4.7","3.5","0.03394316988493","0.4","1","1","0.8","0.8","0.8","0.8","0.5","0.5","0.5","1","1","3.661","3.357","3.378","3.125","3.4224","3.0794","3.0589","2.9946","3.3832","3.6614","2.854791780821918","3.9468","4.2034","6.0457","6.0647","6.0875","5.9982","6.142786379499914","6.119306322579973","6.1601399615128765",""
"INTL.53-1-HRV-TBPD.A","        Croatia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","41","39.487671232876714","38.756923287671235","38","35.89147267759563","37.17418082191781","33.78827123287671","31.757813698630137","28.289338797814207","27.312923287671232","25.175334246575343","24.092539726027397","26.592355191256832","24.197383561643836","23.543753424657535","23.495424657534247","21.962566666666667","23.93752191780822","23.040261643835617","20.706254794520547","19.907933333333332","19.733260273972604","19.200430136986302","17.77737808219178","17.554367213114755","17.96093698630137","17.97708082191781","17.614609589041095","15.8241956284153","15.50214060005226","15.09152099938159","14.475327420282191",""
"INTL.53-1-CYP-TBPD.A","        Cyprus","","","","","","","","0","0","0","0","0","0","0.0194789579452054","-0.0147335736068493","-0.0112737022909837","0.0226569510315068","0.0465942273342465","-0.0344916283068494","-0.1","","","","","","","","","","","","-0.073","0.02","0.02","0.02","0.2","0.2","0.11","0.13","0.13","0.04","0.03","0","0.01","0","0","0","0","0","0","0",""
"INTL.53-1-CZE-TBPD.A","        Czechia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","","5.323126027397261","5.531747945205479","4.969975409836065","9.096054794520548","8.813953424657534","7.978284931506849","7.537986338797814","7.194528767123288","8.334345205479453","9.391909589041095","17.229882513661202","17.667339726027397","13.12536712328767","13.469517808219178","11.454468306010929","9.866409589041096","15.133480821917809","15.578431506849315","15.9663","13.6034","16.8684","16.119716438356168","14.203233333333335","11.849941095890411","10.62165205479452","9.575147945205478","10.158422950819672","10.465984949108599","9.023746550865653","9.070515524419726",""
"INTL.53-1-DNK-TBPD.A","        Denmark","","","","","","","","5.3","15","34","44","46","58","76","97","99","117","121","144","163","167.53698630136986","184.94898630136987","186.00308219178083","207.81645355191256","230.32918082191782","237.85933698630137","299.88277260273975","363.0328715846995","347.99659452054794","370.7806410958904","374.3164712328767","418.2434726775956","391.7668684931507","352.39645479452054","320.9687397260274","290.37988797814205","263.95368493150687","248.9426301369863","224.67004520547945","205.5172830601093","179.55966712328768","169.16411232876712","161.53717534246576","142.36401202185792","142.55584112062465","119.98035896689863","107.15932515754247","76.52829435674317","69.46091961310219","70.13609906353831","65.03001449291534",""
"INTL.53-1-EST-TBPD.A","        Estonia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","-0.0825932803278689","5.090410958904109","5.75352602739726","5.983583561643836","6.713133879781421","7.1536109589041095","4.276709589041096","3.0110082191780823","4.685806010928962","5.0246657534246575","5.542539726027397","6.098701369863013","6.532748633879781","4.794539726027398","8.361605479452054","8.150750684931507","7.6","9","10","11","11","13","13","16","14","18.391846575342466","21.556271232876714","22.591887671232875","22.91260382513661","21.843742465753426","21.21090684931507","23.742520547945205",""
